id,name,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19
20,1970GIN,0.185719019,1.66E-04,0.051192843,1.66E-04,0.00944334,0.088303512,0.103545394,0.002153744,0.063783963,0.024022531,0.016732936,0.082339298,0.082339298,0.037939032,0.092279655,0.020046388,0.020709079,0.083664679,1.66E-04,0.03528827
21,1970GMB,0.14205786,0.015420306,0.12404476,0.021424672,0.002319869,0.189546943,0.057450873,0.071097162,0.00614083,0.00614083,6.82E-04,0.066730349,0.060180131,0.006686681,0.06345524,0.025245633,0.002319869,0.108760917,0.026337336,0.003957424
22,1970GTM,2.51E-04,0.005260521,0.135521042,0.028306613,0.024298597,0.099448898,0.056362725,0.014278557,0.002254509,2.51E-04,0.110470942,0.140531062,0.128507014,0.032314629,0.039328657,2.51E-04,0.041332665,0.111472946,2.51E-04,0.029308617
23,1970HND,0.002930568,2.25E-04,0.094003607,2.25E-04,0.047114518,0.059738503,0.105725879,0.069657349,2.25E-04,0.002028855,0.112037872,0.121055005,0.066050496,0.075969342,0.088593327,0.031785392,0.018259693,0.077772768,2.25E-04,0.026375113
24,1970HTI,0.027269861,1.58E-04,0.063839849,0.017812106,0.006462799,0.102931904,0.104192938,0.039249685,0.004571248,0.015920555,1.58E-04,0.063209332,0.0657314,0.14202396,0.04240227,0.089691047,0.014029004,0.133827238,0.020964691,0.045554855
25,1970IDN,0.065871775,0.058835027,0.160476935,0.024433151,0.01426896,0.129202502,0.033815481,0.01426896,9.77E-04,0.01426896,0.031469898,0.071344801,0.125293198,0.018178264,0.063526192,0.006450352,1.95E-04,0.085418296,0.081508991,1.95E-04
26,1970IND,0.073067253,0.026555625,0.148491515,0.049811439,0.006442489,0.13654934,0.032212445,0.028441232,0.00769956,0.017127593,0.0384978,0.102608422,0.161062225,0.007071025,0.05106851,0.003928347,0.029698303,0.044783155,0.027184161,0.00769956
27,1970IRN,2.02E-04,2.02E-04,0.124596123,0.037358643,0.003432956,0.122172859,0.034127625,0.001009693,0.002625202,0.104402262,0.021203554,0.116518578,0.107633279,0.010702746,0.0930937,0.040589661,0.030896607,0.072899838,0.076130856,2.02E-04
28,1970IRQ,0.037952458,0.038492707,0.049297677,1.35E-04,0.002296056,0.120610481,0.043354943,0.014721772,0.055240411,0.211372231,0.020124257,0.079551594,0.120070232,0.011480281,0.11736899,1.35E-04,0.013641275,0.046056186,0.015262021,0.002836305
29,1970ISL,0.013321799,1.73E-04,0.181487889,1.73E-04,0.039619377,0.097058824,0.012629758,0.009861592,0.015397924,1.73E-04,0.26799308,0.119896194,0.06384083,0.007785467,0.034083045,1.73E-04,0.015397924,0.082525952,0.038235294,1.73E-04
30,1970ISR,6.43E-04,7.15E-05,0.09469697,0.008076043,0.21848199,0.048384791,0.058676387,0.003216123,0.003787879,0.177029731,0.010648942,0.05581761,0.041523728,0.015222985,0.114708405,0.041523728,0.022655803,0.038093196,0.031232133,0.015508862
31,1970ITA,0.008701787,0.003998119,0.230714958,0.011523989,2.35E-04,0.067968015,0.042568203,0.008701787,0.003998119,0.001175917,0.007761054,0.062323612,0.151693321,0.025634995,0.080197554,0.001175917,0.178033866,0.050094073,0.038805268,0.024694262
32,1970JPN,0.002267969,0.029483601,0.128576413,0.019713887,0.004361479,0.263258897,0.022505234,1.74E-04,0.001570133,1.74E-04,8.72E-04,0.130669923,0.087404047,1.74E-04,0.028087927,0.002267969,0.150209351,0.089497558,0.037857641,8.72E-04
33,1970KEN,0.246307692,1.54E-04,0.101692308,0.027230769,0.014307692,0.146615385,0.018,0.011230769,0.010615385,0.026,0.040153846,0.056153846,0.081384615,0.001384615,0.077692308,0.023538462,0.029692308,0.05,0.032153846,0.005692308
34,1970KHM,0.014487179,0.319102564,0.093461538,1.28E-04,0.011410256,0.102179487,0.053974359,0.00525641,0.019102564,0.008333333,6.41E-04,0.071410256,0.022179487,0.017564103,0.100641026,1.28E-04,0.027820513,0.102179487,0.00474359,0.02525641
35,1970KWT,0.022819063,2.02E-04,0.084208401,0.014741519,0.001817447,0.17871567,0.066437803,0.055129241,2.02E-04,0.098747981,0.037358643,0.054321486,0.083400646,0.001817447,0.058360258,0.147213247,0.026050081,0.068053312,2.02E-04,2.02E-04
36,1970LBN,0.007123474,0.015264586,0.076322931,0.001696065,0.054613297,0.111601085,0.064111262,0.004409769,3.39E-04,0.083107191,3.39E-04,0.100746269,0.122455902,3.39E-04,0.065468114,0.160447761,0.004409769,0.12109905,0.005766621,3.39E-04
37,1970LBR,0.089645127,0.007018008,0.073225636,0.01284428,0.019729873,0.203522246,0.062632415,0.009136653,0.006488347,1.32E-04,0.019200212,0.112420551,0.125132415,0.031382415,0.035090042,0.010725636,0.00278072,0.0859375,0.064751059,0.028204449
38,1970LBY,0.057832792,2.03E-04,0.06838474,2.03E-04,0.00101461,0.162540584,0.069196429,2.03E-04,0.039975649,0.182021104,0.037540584,0.100040584,0.084618506,2.03E-04,0.077313312,2.03E-04,2.03E-04,0.097605519,0.017248377,0.003449675
39,1970LKA,0.072803688,0.01260846,0.123779826,0.051654013,0.017489154,0.092868764,0.02074295,0.077684382,0.009354664,0.008270065,0.074972885,0.102087852,0.104799349,6.78E-04,0.086361171,0.019658351,0.033758134,0.059246204,0.025081345,0.006100868
40,1970MAR,0.075851812,1.35E-04,0.174824229,6.76E-04,0.015278529,0.081800973,0.064494321,1.35E-04,0.007166036,0.028258518,0.032044348,0.060167658,0.155354246,0.010411033,0.072606814,0.071525149,0.015278529,0.112087615,0.012574365,0.009329367
41,1970MDG,0.004888268,2.33E-04,0.113826816,0.001163873,0.024441341,0.078445065,0.128724395,0.016061453,0.01047486,0.001163873,0.013268156,0.102653631,0.165037244,0.030027933,0.048649907,0.005819367,0.016061453,0.195763501,0.030027933,0.013268156
42,1970MEX,1.53E-04,1.53E-04,0.089394866,0.038050122,0.011766504,0.090006112,0.086949878,0.027047677,0.001375306,7.64E-04,0.130348411,0.16457824,0.108954768,0.020323961,0.04844132,1.53E-04,0.041717604,0.115067237,7.64E-04,0.023991443
43,1970MMR,0.024049217,1.86E-04,0.193325876,0.085197614,0.021812081,0.183631618,0.029269202,9.32E-04,0.002423565,1.86E-04,0.001677852,0.107568978,0.144108874,0.006897837,0.033743475,0.008389262,0.034489187,0.068791946,0.035980611,0.017337808
44,1970NLD,7.63E-04,1.53E-04,0.164887126,0.113026236,0.012355095,0.119737645,0.027608298,0.008694326,0.005643685,0.004423429,0.03676022,0.123398414,0.100823673,1.53E-04,0.025167785,0.011134838,0.003813301,0.118517389,0.059945088,0.062995729
45,1970NOR,2.45E-04,0.002205882,0.083578431,0.018872549,0.032598039,0.169852941,0.06495098,0.01495098,2.45E-04,2.45E-04,0.071813725,0.177696078,0.109068627,0.005147059,0.033578431,0.011029412,0.042401961,0.093382353,0.067892157,2.45E-04
46,1970NZL,0.005441176,0.107205882,0.153088235,0.001323529,0.046617647,0.127794118,0.0225,0.056617647,0.003676471,1.47E-04,0.028382353,0.127794118,0.074852941,0.0125,0.037205882,0.006029412,0.010147059,0.087794118,0.053676471,0.037205882
47,1970PAK,0.04858631,0.003050595,0.147693452,0.181622024,0.015252976,0.103943452,0.037276786,0.007514881,7.44E-05,0.034002976,0.015252976,0.091741071,0.070014881,0.010491071,0.068229167,0.018229167,0.072693452,0.052752976,0.021502976,7.44E-05
48,1970PER,0.004160363,0.007186082,0.078794755,0.012733232,0.003656077,0.064170449,0.14183056,0.058623298,0.018280383,1.26E-04,0.131240545,0.106530509,0.114094806,0.045007564,0.067700454,1.26E-04,0.01172466,0.078290469,0.055093293,6.30E-04
49,1970PHL,3.00E-04,0.003896882,0.071043165,0.103417266,0.011091127,0.194544365,0.059052758,0.039868106,3.00E-04,3.00E-04,3.00E-04,0.134592326,0.126199041,3.00E-04,0.045863309,0.024280576,0.063848921,0.061450839,0.059052758,3.00E-04
50,1970PRY,0.002382698,1.83E-04,0.091825513,1.83E-04,9.16E-04,0.109420821,0.091825513,0.003848974,0.007514663,1.83E-04,0.046370968,0.172470674,0.109420821,0.083027859,0.041972141,0.019978006,0.066165689,0.095491202,0.00164956,0.055168622
51,1970RWA,0.106964137,0.013552961,0.09528774,0.004378649,2.09E-04,0.089449541,0.081109258,0.021893244,0.016889074,0.013552961,0.002710592,0.087781485,0.076939116,0.011050876,0.060258549,0.10029191,0.004378649,0.193703086,2.09E-04,0.019391159
52,1970SDN,0.078101266,0.040632911,0.059367089,0.002658228,0.012278481,0.160126582,0.043670886,1.27E-04,0.027468354,0.08721519,1.27E-04,0.089746835,0.021392405,0.023417722,0.054810127,0.080126582,0.007721519,0.12164557,0.017341772,0.072025316
53,1970SGP,0.001231527,2.46E-04,0.032758621,2.46E-04,0.030788177,0.200246305,0.050492611,2.46E-04,2.46E-04,0.001231527,0.017980296,0.251477833,0.0091133,0.013054187,0.027832512,0.014039409,0.068226601,0.073152709,0.205172414,0.002216749
54,1970SLE,0.124331551,1.49E-04,0.102941176,0.050653595,0.016191325,0.145127748,0.018568033,0.079768271,0.015597148,0.007278669,0.001336898,0.124925728,0.082739156,0.010249554,0.082144979,0.014408794,0.010843731,0.066102198,0.024509804,0.022133096
55,1970SLV,8.73E-05,8.73E-05,0.05457562,0.011613692,0.019996507,0.083915473,0.112207475,0.036762138,8.73E-05,8.73E-05,0.219437653,0.145040168,0.079724066,4.37E-04,0.058767028,0.006374432,0.03606357,0.032221446,0.024886483,0.077628362
56,1970SOM,0.205889423,0.022716346,0.094831731,0.023197115,0.003485577,0.144350962,0.031370192,0.011177885,0.015024038,0.0515625,0.008293269,0.127524038,0.056850962,0.009735577,0.083774038,0.013100962,0.023677885,0.054447115,0.017908654,0.001081731
57,1970SYR,0.078075292,0.013918346,0.035657476,1.33E-04,0.012327678,0.066410392,0.009676564,1.33E-04,0.053154825,0.157608696,0.01869035,0.062698834,0.035127253,0.106177094,0.084968187,0.070652174,1.33E-04,0.147004242,0.018160127,0.029294804
