16	file:/Users/jenniferarnold/mallet-2.0.8/sample-data/web/debate/1970ECU	0.035259674	0.01845723	0.138620163	0.01947556	0.003691446	0.010819756	0.103996945	1.27E-04	0.19462831	1.27E-04	0.081084521	0.219577393	0.001654786	1.27E-04	1.27E-04	0.118253564	1.27E-04	1.27E-04	0.053589613	1.27E-04
17	file:/Users/jenniferarnold/mallet-2.0.8/sample-data/web/debate/1970FRA	0.030746395	0.010390161	0.134223919	0.037531807	0.006149279	0.002756573	0.046861747	2.12E-04	0.168150975	2.12E-04	0.00360475	0.291984733	2.12E-04	2.12E-04	0.002756573	0.193596268	0.005301103	0.001060221	0.06043257	0.00360475
18	file:/Users/jenniferarnold/mallet-2.0.8/sample-data/web/debate/1970GBR	2.33E-04	0.001162791	0.004883721	0.02627907	2.33E-04	2.33E-04	0.092325581	2.33E-04	0.160232558	2.33E-04	0.004883721	0.30627907	0.056046512	0.011395349	2.33E-04	0.128604651	0.034651163	0.023488372	0.148139535	2.33E-04
19	file:/Users/jenniferarnold/mallet-2.0.8/sample-data/web/debate/1970GHA	0.002342889	0.048649394	0.123070562	0.005099228	0.128583241	0.122519294	0.029906284	1.38E-04	0.206863286	1.38E-04	0.001240353	0.108737596	0.003445424	1.38E-04	1.38E-04	1.38E-04	1.38E-04	0.217337376	0.001240353	1.38E-04
20	file:/Users/jenniferarnold/mallet-2.0.8/sample-data/web/debate/1970GIN	0.220178926	0.194333996	0.165838304	1.66E-04	0.001491054	8.28E-04	1.66E-04	8.28E-04	0.226805832	1.66E-04	8.28E-04	0.095593108	1.66E-04	1.66E-04	0.004141816	0.070410868	1.66E-04	1.66E-04	0.017395626	1.66E-04
21	file:/Users/jenniferarnold/mallet-2.0.8/sample-data/web/debate/1970GMB	0.027974891	0.079284934	0.08856441	0.011599345	0.031795852	0.005594978	0.030704148	1.36E-04	0.291621179	1.36E-04	0.002319869	0.155704148	0.04544214	0.032341703	6.82E-04	0.012691048	0.005049127	0.158979258	0.015966157	0.003411572
22	file:/Users/jenniferarnold/mallet-2.0.8/sample-data/web/debate/1970GTM	0.001252505	0.005260521	0.247745491	2.51E-04	2.51E-04	0.026302605	0.061372745	2.51E-04	0.272795591	2.51E-04	0.116482966	0.098446894	0.035320641	0.002254509	0.003256513	0.125501002	2.51E-04	0.001252505	0.001252505	2.51E-04
23	file:/Users/jenniferarnold/mallet-2.0.8/sample-data/web/debate/1970HND	0.002028855	2.25E-04	0.227457169	0.033588819	0.019161407	0.027276826	0.002028855	2.25E-04	0.188683499	2.25E-04	0.241884581	0.141794409	2.25E-04	0.002028855	2.25E-04	0.086789901	0.003832281	0.003832281	0.01735798	0.001127142
24	file:/Users/jenniferarnold/mallet-2.0.8/sample-data/web/debate/1970HTI	0.047446406	1.58E-04	0.194356873	0.067622951	0.086538462	1.58E-04	0.010876419	0.00204918	0.111759142	1.58E-04	0.024747793	0.215163934	1.58E-04	0.013398487	7.88E-04	0.044293821	1.58E-04	0.037988651	0.141393443	7.88E-04
25	file:/Users/jenniferarnold/mallet-2.0.8/sample-data/web/debate/1970IDN	0.056489445	0.018178264	0.113565285	0.003322909	0.013487099	9.77E-04	0.053362002	0.001759187	0.363760751	1.95E-04	9.77E-04	0.083854574	0.088545739	0.008014073	0.00488663	0.012705238	0.018960125	0.109655981	1.95E-04	0.047107115
26	file:/Users/jenniferarnold/mallet-2.0.8/sample-data/web/debate/1970IND	0.002671276	7.86E-04	0.162319296	0.025298554	7.86E-04	0.065524827	0.101979887	1.57E-04	0.299340038	0.017127593	1.57E-04	0.056096794	0.189346323	0.001414205	0.00204274	1.57E-04	1.57E-04	0.046040226	0.028441232	1.57E-04
27	file:/Users/jenniferarnold/mallet-2.0.8/sample-data/web/debate/1970IRN	0.014741519	2.02E-04	0.066437803	2.02E-04	2.02E-04	2.02E-04	0.04947496	0.009087237	0.296647819	0.010702746	0.002625202	0.138327948	0.035743134	2.02E-04	2.02E-04	0.04220517	0.211833603	0.094709208	0.023626817	0.002625202
28	file:/Users/jenniferarnold/mallet-2.0.8/sample-data/web/debate/1970IRQ	0.232441923	0.001755808	0.076310103	1.35E-04	0.01904376	0.018503512	1.35E-04	1.35E-04	0.18273906	1.35E-04	6.75E-04	0.067666126	1.35E-04	1.35E-04	1.35E-04	0.051458671	0.326985413	1.35E-04	0.019584009	0.001755808
29	file:/Users/jenniferarnold/mallet-2.0.8/sample-data/web/debate/1970ISL	1.73E-04	8.65E-04	0.050692042	1.73E-04	0.021626298	0.005709343	0.085986159	0.001557093	0.315743945	1.73E-04	0.013321799	0.110899654	1.73E-04	0.001557093	8.65E-04	0.190484429	1.73E-04	0.057612457	0.006401384	0.135813149
30	file:/Users/jenniferarnold/mallet-2.0.8/sample-data/web/debate/1970ISR	0.037235563	7.15E-05	0.003787879	7.15E-05	0.005217267	7.15E-05	0.068396226	7.15E-05	0.08126072	3.57E-04	0.008076043	0.228487707	0.01579474	7.15E-05	0.003216123	0.105846198	0.237635792	0.02665809	0.177029731	6.43E-04
